"","sample","copy","area_season","season","study.area","domestication","DESCRIPTION","state","grass_cover_percent","grass_cover","elevation","biome","latitude","longitude","collection_time","life_stage","sex_known","sex","BCS_known","horse_BCS","fecal_freshness","stud_pile","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"60","GM13",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2544.22,"sagerush steppe",42.309429,-107.649136,"7/14/2020 15:40","Adult","n","u","n","u",5,"n",60,11.7700132948242,387.164016870673,2.60759638747536,8.24385458212992,15.8199789116582,27.5442809333883,20.5050016045477,19.4635446751937
"61","GM14",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2571.77,"sagerush steppe",42.317589,-107.639887,"7/14/2020 16:45","Adult","n","u","n","u",4,"y",61,16.1952389036998,403.450197996632,3.16703298720249,7.15234039819578,15.7084746229346,27.9513657867326,20.2328743237601,20.0798731720299
"62","GM15",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2249.26,"sagerush steppe",42.342232,-107.623496,"7/14/2020 18:24","Adult","n","u","n","u",2,"y",62,27.6018801022512,406.430646033186,4.56887752764722,7.35304600386649,15.6421804421722,28.3393117286496,18.3679484712716,18.9062239447331
"63","GM16",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2256.61,"sagerush steppe",42.341525,-107.624532,"7/14/2020 18:29","Adult","y","mare","y","5",1,"n",63,27.2282416730505,406.90566842663,4.5183649316275,7.25526956792983,15.6455960403125,28.2897425193925,18.400569732611,19.1433184860342
"64","GM17",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2676.72,"sagerush steppe",42.353358,-107.703778,"7/15/2020 8:31","Adult","n","u","n","u",4,"y",64,16.1391225465941,376.692547693661,3.57969102204629,6.97237799402569,15.7080194989646,27.2260936096908,17.2573899976176,23.0358183517511
"65","GM18",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2696.61,"sagerush steppe",42.355701,-107.713069,"7/15/2020 8:36","Adult","n","u","n","u",4,"y",65,15.539155494873,372.81111803462,3.5641488513594,7.45080134519697,15.6646766670638,27.4480568868037,17.0989333724308,22.2566870401085
"66","GM19",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2740.39,"sagerush steppe",42.341562,-107.716729,"7/15/2020 8:44","Adult","n","u","n","u",4,"n",66,11.2544802210441,361.154515503787,2.8983765356012,8.08999390570802,15.7674317370565,26.2256262686895,17.8871868656552,22.9655191374515
"67","GM20",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2747.98,"sagerush steppe",42.341745,-107.715815,"7/15/2020 8:47","Adult","n","u","n","u",4,"n",67,11.3716307509103,361.778249021,2.9173288753521,8.01892504637369,15.7601163349898,26.2431218082305,17.8775642934023,23.0231662353722
"68","GM22",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2743.42,"sagerush steppe",42.340243,-107.717896,"7/15/2020 9:12","Adult","n","u","n","u",2,"n",68,10.8670665422203,359.126715713188,2.83487518758464,8.25307913326745,15.78970389078,26.1038578382929,17.9609457926137,22.8998938545441
"69","GM3",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2122.3,"sagerush steppe",42.371436,-107.589341,"7/14/2020 12:51","Adult","n","u","n","u",4,"y",69,36.1654595233081,395.422141542519,5.72854382800267,12.4139418190475,15.5740584739632,31.3542317165853,17.937698583476,7.23726547692082
"70","GM5",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2152.91,"sagerush steppe",42.362681,-107.597634,"7/14/2020 13:14","Adult","n","u","n","u",4,"n",70,34.4929557467,397.807377687396,5.48637408740737,10.8752141214836,15.5376808009747,30.3524508322112,17.9682000970989,10.8153929300979
"71","GM8",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2236.81,"sagerush steppe",42.342005,-107.623382,"7/14/2020 13:56","Adult","n","u","n","u",4,"y",71,27.5775655559372,406.616466277339,4.56578953395168,7.35007443032177,15.6407282720715,28.3489659910684,18.3831718767892,18.8930997366312
"72","LBC10",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2067.58,"sagerush steppe",39.27245,-108.535857,"7/17/2020 14:23","Adult","n","u","n","u",5,"y",72,54.5933114319472,173.187295274872,7.68492742764378,16.7719614228216,14.9137296715753,12.6863106730834,17.3201252605593,13.9598906851868
"73","LBC14",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2084.39,"sagerush steppe",39.230511,-108.468829,"7/17/2020 17:25","Adult","n","u","n","u",5,"n",73,39.7711775297083,136.914464049934,6.28602088584804,14.4918017044773,17.0041675669187,10.5674180770616,13.5719985595967,21.2061025087024
"74","LBC16",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2020.55,"sagerush steppe",39.233125,-108.420056,"7/17/2020 18:38","Adult","n","u","n","u",4,"y",74,7.46318126552836,136.645013864393,2.99196970497917,13.8742064617203,18.0180020856661,10.8218725821411,13.2890281468809,24.5016411404845
"75","LBC17",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2028.97,"sagerush steppe",39.235243,-108.432846,"7/18/2020 7:13","Adult","n","u","n","u",2,"n",75,7.51364969072858,133.059263027069,2.91828420340414,13.9530742395378,17.7627847384509,10.4535037165356,13.6737078500717,24.5450087095056
"76","LBC18",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2031.37,"sagerush steppe",39.234896,-108.432865,"7/18/2020 7:16","Adult","y","stallion","y","5",2,"y",76,7.55220741807706,132.987401272356,2.92274636898332,13.9544016324571,17.7507478093866,10.4495738806866,13.6488344736526,24.5506037690553
"77","LBC1",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2053.07,"sagerush steppe",39.22877,-108.45733,"7/18/2020 7:33","Adult","n","u","n","u",3,"n",77,29.1637211538462,133.513360576923,5.20238942307692,14.1882836538462,17.1387307692308,10.3816682692308,13.2724663461538,22.596625
"78","LBC20",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2103.27,"sagerush steppe",39.269263,-108.535178,"7/17/2020 14:28","Adult","n","u","n","u",4,"n",78,57.031910347576,170.275924156508,7.92402686883916,16.9326022345886,14.951654334977,12.5574323837692,17.1112973001522,13.8271866942589
"79","LBC21",1,"LBC","summer","LBC","wild","Little Book Cliffs HMA, CO, feces","CO","9.9","low ",2094.05,"sagerush steppe",39.21815,-108.488923,"7/18/2020 9:17","Adult","n","u","n","u",3,"n",79,66.9349262690099,136.938898989025,9.06375590376975,17.5582681634106,16.041256649256,10.5781654306024,12.6861791667869,16.8385661655076
