sample,copy,area_season,season,enviro,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile
GM14,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2571.77,sagerush steppe,42.317589,-107.639887,7/14/2020 16:45,Adult,n,u,n,u,4,y
GM15,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2249.26,sagerush steppe,42.342232,-107.623496,7/14/2020 18:24,Adult,n,u,n,u,2,y
GM16,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2256.61,sagerush steppe,42.341525,-107.624532,7/14/2020 18:29,Adult,y,mare,y,5,1,n
GM17,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2676.72,sagerush steppe,42.353358,-107.703778,7/15/2020 8:31,Adult,n,u,n,u,4,y
GM18,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2696.61,sagerush steppe,42.355701,-107.713069,7/15/2020 8:36,Adult,n,u,n,u,4,y
GM19,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2740.39,sagerush steppe,42.341562,-107.716729,7/15/2020 8:44,Adult,n,u,n,u,4,n
GM20,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2747.98,sagerush steppe,42.341745,-107.715815,7/15/2020 8:47,Adult,n,u,n,u,4,n
GM22,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2743.42,sagerush steppe,42.340243,-107.717896,7/15/2020 9:12,Adult,n,u,n,u,2,n
GM3,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2122.3,sagerush steppe,42.371436,-107.589341,7/14/2020 12:51,Adult,n,u,n,u,4,y
GM5,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2152.91,sagerush steppe,42.362681,-107.597634,7/14/2020 13:14,Adult,n,u,n,u,4,n
GM8,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2236.81,sagerush steppe,42.342005,-107.623382,7/14/2020 13:56,Adult,n,u,n,u,4,y
LBC10,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2067.58,sagerush steppe,39.27245,-108.535857,7/17/2020 14:23,Adult,n,u,n,u,5,y
LBC14,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2084.39,sagerush steppe,39.230511,-108.468829,7/17/2020 17:25,Adult,n,u,n,u,5,n
LBC16,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2020.55,sagerush steppe,39.233125,-108.420056,7/17/2020 18:38,Adult,n,u,n,u,4,y
LBC17,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2028.97,sagerush steppe,39.235243,-108.432846,7/18/2020 7:13,Adult,n,u,n,u,2,n
LBC18,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2031.37,sagerush steppe,39.234896,-108.432865,7/18/2020 7:16,Adult,y,stallion,y,5,2,y
LBC1,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2053.07,sagerush steppe,39.22877,-108.45733,7/18/2020 7:33,Adult,n,u,n,u,3,n
LBC20,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2103.27,sagerush steppe,39.269263,-108.535178,7/17/2020 14:28,Adult,n,u,n,u,4,n
LBC21,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2094.05,sagerush steppe,39.21815,-108.488923,7/18/2020 9:17,Adult,n,u,n,u,3,n
LBC22,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2093.85,sagerush steppe,39.218158,-108.488929,7/18/2020 9:20,Adult,n,u,n,u,4,n
LBC23,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2064.5,sagerush steppe,39.216824,-108.486272,7/18/2020 9:29,Adult,n,u,n,u,4,n
LBC24,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,1984.67,sagerush steppe,39.207201,-108.466545,7/18/2020 9:45,Adult,n,u,n,u,5,n
LBC2,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,1990.77,sagerush steppe,39.198917,-108.437899,7/18/2020 10:32,Adult,n,u,n,u,5,y
LBC3,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2129.09,sagerush steppe,39.262475,-108.529257,7/17/2020 14:37,Adult,y,stallion,y,5,1,y
LBC5,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2109.95,sagerush steppe,39.263032,-108.519796,7/17/2020 14:57,Adult,n,u,n,u,5,y
LBC8,1,LBC,summer,pinyon_juniper,LBC,wild,"Little Book Cliffs HMA, CO, feces",CO,9.9,low ,2074.02,sagerush steppe,39.268048,-108.519032,7/17/2020 15:24,Adult,n,u,n,u,5,y
MP10,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1485.44,sagerush steppe,44.470703,-108.660131,7/22/2020 17:46,Adult,n,u,n,u,2,y
MP11,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1452.98,sagerush steppe,44.482974,-108.570353,7/23/2020 8:54,Adult,n,u,n,u,2,y
MP12,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1452.9,sagerush steppe,44.483257,-108.570293,7/23/2020 9:00,Adult,n,u,n,u,3,u
MP13,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1450.59,sagerush steppe,44.484533,-108.566531,7/23/2020 9:24,Adult,n,u,n,u,2,n
MP14,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1449.17,sagerush steppe,44.484167,-108.566194,7/23/2020 9:31,Adult,n,u,n,u,2,n
MP15,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1450.29,sagerush steppe,44.484188,-108.56625,7/23/2020 9:36,Adult,n,u,n,u,3,n
MP16,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1449.53,sagerush steppe,44.48424,-108.566311,7/23/2020 9:42,Adult,y,stallion,y,5,1,n
MP17,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1448.19,sagerush steppe,44.484065,-108.566998,7/23/2020 9:50,Adult,n,u,n,u,2,n
MP1,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1450.12,sagerush steppe,44.484214,-108.567216,7/23/2020 9:55,Adult,y,stallion,y,5,1,n
MP2,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1485.38,sagerush steppe,44.470824,-108.660244,7/22/2020 17:47,Adult,n,u,n,u,3,n
MP3,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1484.64,sagerush steppe,44.470933,-108.66014,7/22/2020 17:51,Adult,n,u,n,u,2,n
MP4,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1483.4,sagerush steppe,44.471168,-108.660396,7/22/2020 17:53,Adult,n,u,n,u,2,n
MP6,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1481.46,sagerush steppe,44.471006,-108.660446,7/22/2020 17:59,Adult,n,u,n,u,3,n
MP7,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1480.75,sagerush steppe,44.471078,-108.660733,7/22/2020 18:05,Adult,n,u,n,u,4,n
MP9,1,MP,summer,wy_basin,MP,wild,"McCullough Peaks HMA, WY, feces",WY,13.8,medium,1478.74,sagerush steppe,44.472003,-108.660907,7/22/2020 18:16,Adult,n,u,n,u,4,y
NH10,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1744.49,sagerush steppe,37.624115,-113.928844,5/23/2020 15:05,Adult,n,u,n,u,5,n
NH11,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1581.68,sagerush steppe,37.705018,-113.838764,6/2/2020 9:27,Adult,n,u,n,u,4,y
NH12,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1584.55,sagerush steppe,37.703739,-113.839491,6/2/2020 9:54,Adult,n,u,n,u,4,n
NH13,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1582.56,sagerush steppe,37.703542,-113.839415,6/2/2020 9:58,Adult,n,u,n,u,4,y
NH14,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1670.86,sagerush steppe,37.589163,-113.747351,6/2/2020 11:51,Adult,n,u,n,u,5,n
NH15,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1902.44,sagerush steppe,37.652794,-113.863483,6/2/2020 13:34,Adult,n,u,n,u,5,y
NH16,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1845.86,sagerush steppe,37.632309,-113.85966,6/2/2020 14:24,Adult,n,u,n,u,4,y
NH17,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1804.09,sagerush steppe,37.621609,-113.930039,6/14/2020 10:37,Adult,n,u,y,4,2,n
NH1,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1762.86,sagerush steppe,37.624507,-113.930122,6/14/2020 14:59,Adult,n,u,y,5,2,n
NH2,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1746.18,sagerush steppe,37.623824,-113.929161,5/23/2020 15:09,Adult,n,u,n,u,5,n
NH3,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1745.19,sagerush steppe,37.623751,-113.929614,5/23/2020 15:21,Adult,n,u,n,u,4,n
NH5,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1816.42,sagerush steppe,37.618156,-113.932243,5/23/2020 16:46,Adult,n,u,n,u,4,n
NH6,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1593.94,sagerush steppe,37.707442,-113.83806,6/2/2020 8:49,Adult,n,u,n,u,4,n
NH7,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1586.02,sagerush steppe,37.707255,-113.838334,6/2/2020 8:57,Adult,n,u,n,u,3,y
NH8,1,NH,summer,pinyon_juniper,NH,wild,"North Hills HMA, UT, feces ",UT,10.9,medium,1585.76,sagerush steppe,37.706959,-113.840366,6/2/2020 9:03,Adult,n,u,n,u,3,y
ON10,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1497.63,sagerush steppe,40.096836,-112.727875,6/16/2020 18:31,Adult,n,u,n,u,2,u
ON12,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1551.3,sagerush steppe,40.020208,-112.790988,6/16/2020 20:14,Adult,n,u,n,u,2,n
ON13,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1573.07,sagerush steppe,40.019305,-112.789094,6/16/2020 20:36,Adult,n,u,n,u,2,n
ON15,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1567.06,sagerush steppe,40.019131,-112.78983,6/16/2020 20:42,Adult,n,u,n,u,2,n
ON16,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1364.34,sagerush steppe,40.024161,-112.856012,6/17/2020 9:39,Adult,n,u,n,u,2,n
ON18,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1367.98,sagerush steppe,40.029876,-112.860776,6/17/2020 10:01,Adult,y,stallion,y,5,1,y
ON19,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1367.91,sagerush steppe,40.029558,-112.861124,6/17/2020 10:04,Adult,y,mare,y,5,1,n
ON20,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1368.8,sagerush steppe,40.018957,-112.856453,6/17/2020 11:18,Adult,y,mare,y,5,2,n
ON21,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1368.04,sagerush steppe,40.02168,-112.858365,6/17/2020 11:28,Adult,n,u,y,5,1,n
ON24,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1535.46,sagerush steppe,40.145651,-112.678454,6/17/2020 15:21,Adult,n,u,n,u,2,n
ON25,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1534.68,sagerush steppe,40.146073,-112.678176,6/17/2020 15:29,Adult,n,u,n,u,2,n
ON3,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1509.2,sagerush steppe,40.10062,-112.724612,6/16/2020 17:40,Adult,n,u,n,u,2,n
ON4,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1509.27,sagerush steppe,40.100577,-112.724816,6/16/2020 17:44,Adult,n,u,n,u,2,n
ON5,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1510.16,sagerush steppe,40.099007,-112.723593,6/16/2020 18:00,Adult,y,mare,y,6,1,n
ON9,1,ON,summer,salt_desert ,ON,wild,"Onaqui HMA, UT, feces",UT,20,medium,1498.51,sagerush steppe,40.097123,-112.72742,6/16/2020 18:25,Adult,n,u,n,u,2,y
