"","OBJECTID","HMA_NAME","HMA_ID","ADMIN_ST","ADM_UNIT_C","ADMIN_AGCY","HERD_TYPE","GIS_ACRES","ROD_DT","BLM_ACRES","LUP_ID","GlobalID","created_da","last_edite","Original_G","SHAPE_Leng","SHAPE_Area","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"32",32,"Johnnie","NV0510","NV","NVS03000","BLM","BOTH",179800.385231,1998-10-05,179800.385231,"LUPA001613","{97FA4D66-2AC4-4E33-A57A-C06D11A76285}",2015-12-30,2015-12-30,"{41C62D49-F3FB-461D-B6BA-14E527B43DC5}",2.07143883953,0.0731569394864,32,230.306169493545,3.21740503030393,14.9650231560764,13.1792166147951,7.50737668706784,2.15145910582302,16.4338242520811,0.134360837689058
"33",33,"Wheeler Pass","NV0507","NV","NVS01000","BLM","BOTH",275979.873703,1998-10-05,275979.873703,"LUPA001613","{BE3D7B56-FC24-428E-AE0D-A7886BA7256B}",2015-12-30,2015-12-30,"{DE6A6460-62CB-4E04-BD1E-3EA8D29F525C}",2.7485771202,0.1121768745,33,218.934682251189,9.13909347800051,12.228507245767,15.7857382849041,8.03142497386215,2.43398470248172,19.8831465111236,0.676614477291634
"34",34,"Montgomery Pass","NV0317","NV","NVC01000","BLM","HORSE",7992.78556966,2001-05-09,7992.78556966,"LUPA001614","{F6CE0880-132C-42E9-874B-7D8FBAD4E6DF}",2015-12-30,2015-12-30,"{52D87AC7-EB15-4BDD-89F2-7FBF7DA90B22}",0.349079271466,0.00328151784477,34,13.697340743529,74.968514049111,3.13360494209862,46.465713083719,8.46081969754002,6.71680357815026,13.5099306954808,1.4803268161991
"35",35,"Lahontan","NV0306","NV","NVC02000","BLM","HORSE",9686.61091796,2001-05-09,9686.61091796,"LUPA001614","{691F6EB0-4223-4125-8FBB-F803B38DAF4A}",2015-12-30,2015-12-30,"{F950EA30-8CCB-4D5A-8784-420722BC544A}",0.346699117317,0.00404708273216,35,66.815046121819,36.7958077599512,5.76328918559994,61.6035677111374,10.5413301747963,3.13915509134633,11.4369369369369,0.168084419080435
"36",36,"Amargosa Valley","NV0511","NV","NVS03000","BLM","HORSE",8912.10920408,1998-10-05,8912.10920408,"LUPA001613","{FD144FF3-B06E-46ED-9654-31E50D1A4D73}",2015-12-30,2015-12-30,"{82596EF9-19F0-4DC4-8F71-A0E9C6301805}",0.400022916745,0.00362918800156,36,93.3665465465465,20.5624224224224,5.52836836836837,38.694974974975,6.74636636636637,1.81815815815816,10.7752952952953,0.425625625625626
"37",37,"Horse Mountain","NV0308","NV","NVC01000","BLM","HORSE",50319.9745397,2001-05-09,50319.9745397,"LUPA001614","{10E13354-94BE-4F77-9762-9E55E41FB753}",2015-12-30,2015-12-30,"{54F6DCDA-2DF7-4966-B165-AE2ECCF5786C}",0.638164832842,0.0210121139667,37,265.560160238353,53.9256806500783,27.8083015633263,16.3202313017811,14.0337516720298,6.50053401262966,13.8929140498896,0.0736799173230932
"38",38,"South Stillwater","NV0309","NV","NVC01000","BLM","HORSE",9864.15256179,2001-05-09,9864.15256179,"LUPA001614","{C3ACF7A7-92B5-4A23-BE29-F904898ACC31}",2015-12-30,2015-12-30,"{135BE7D9-F3F9-4BC9-8F46-96CF17900F21}",0.234282212953,0.00414278407009,38,137.279161113839,45.5744897243459,15.6933436206776,19.3057270112927,12.5847127726731,6.35722802833696,18.8212807743565,1.67852633793926
"39",39,"Garfield Flat","NV0313","NV","NVC01000","BLM","HORSE",144118.416372,2001-05-09,144118.416372,"LUPA001614","{AE6841F7-9494-4F39-8E4B-AB896B84563C}",2015-12-30,2015-12-30,"{8F9CB497-09F0-44D3-8F90-ADDDC7DAC1C7}",1.1699099312,0.0595650196239,39,60.3335950664127,32.3215854196792,6.4936745129692,24.0447063671855,12.3601211450253,5.00192276273084,20.1027489288858,3.50750572439507
"40",40,"Granite Peak","NV0303","NV","NVC02000","BLM","HORSE",4052.75218864,2001-05-09,4052.75218864,"LUPA001614","{D633B159-BB9C-4F0B-B381-7A904A50692B}",2015-12-30,2015-12-30,"{3D700F5C-F8C6-4CA8-9326-853546D81B1F}",0.15413281914,0.00170269025733,40,267.493666567151,284.020770247793,21.3215763210645,12.7589030579605,15.5298332409263,16.3577429948394,17.8340939139336,1.46415319657099
"41",41,"Reveille","NV0619","NV","NVB02000","BLM","HORSE",106062.108456,1997-10-06,106062.108456,"LUPA001612","{198F0D31-74B6-4A34-8F02-7BBA590B51EF}",2015-12-30,2015-12-30,"{FF403751-4423-4F12-AD19-559AB4A18E9C}",1.00902215797,0.043817443303,41,40.8765330800509,41.9535803500536,6.10814730829351,21.0670751012384,13.3873647184802,7.08453799983092,14.6309037775225,10.4208417664132
"42",42,"Red Rock","NV0504","NV","NVS02000","BLM","BOTH",161127.400888,2005-05-20,161127.400888,"LUPA001617","{B0D8A480-DEA7-450C-9ED1-A6279312BC79}",2015-12-30,2015-12-30,"{B65654E6-2C95-4BEC-B4FC-A6727A33A55D}",1.80563901242,0.0652070872253,42,328.943812153281,34.9890620249231,14.9676549565031,15.0014734692014,10.4515241997548,4.6411105703317,17.8195373328982,4.48009368724809
"43",43,"El Dorado Mountains","NV0501","NV","NVS01000","BLM","BURRO",16253.3199488,1998-10-05,16253.3199488,"LUPA001613","{0BCF26B4-89DF-44D5-9EEC-DB51FFDBE634}",2015-12-30,2015-12-30,"{F3E046FB-47D8-4515-8102-4C5253B9F235}",0.548825290292,0.00654692432666,43,423.946056848806,16.944193680755,21.3973205868979,13.8937217890849,8.49162128891304,4.28596302498641,12.963967660726,0.522141756035888
"44",44,"Diamond Hills North","NV0104","NV","NVE02000","BLM","HORSE",71851.7114391,2003-01-01,71851.7114391,"LUPA001611","{08ECBBF2-F5F8-47A9-B9AE-7B343779F54E}",2015-12-30,2015-12-30,"{1A18C3E2-2C3A-4379-92C1-A54A945375CC}",0.821231247727,0.030656148418,44,127.282882968263,264.026981626053,20.4266404463767,17.6174499188514,20.6406098586711,18.5030552166136,15.5506118725789,0.83349484084205
"45",45,"Saulsbury","NV0620","NV","NVB02000","BLM","HORSE",73795.6451757,1997-10-06,73795.6451757,"LUPA001612","{D4565AC0-D3A8-4960-A6F7-0C3BE78ECB19}",2015-12-30,2015-12-30,"{0CDE6B4C-4555-49C8-A408-400E316C6425}",0.894945876082,0.0305804722854,45,33.189823312493,22.5598555346335,5.20326543017863,36.5232168001539,10.9862017053752,5.16001842622032,15.7722390944557,1.44979686041901
"46",46,"Marietta","NV0316","NV","NVC01000","BLM","BURRO",66694.2246387,2001-05-09,66694.2246387,"LUPA001614","{46F22122-193D-4AC8-9D9A-C8E6D85402EE}",2015-12-30,2015-12-30,"{59285BD8-E9D3-4F66-9486-BF2B26CF402D}",0.674676264116,0.027498491952,46,36.7929263983054,24.4640575354116,3.64761673344444,39.0669617742374,8.9009452774425,2.89192301495699,16.2820645556615,0.616688544420644
"47",47,"Seven Mile","NV0613","NV","NVB00000","BLM","HORSE",98149.2993632,1986-02-26,98149.2993632,"LUPA001610","{D6EEFF6C-FB6A-4EF1-B5F6-3B7860E91B50}",2015-12-30,2015-12-30,"{6FD48375-081C-4455-89B5-A6C644701DB1}",1.21786402865,0.0411598809384,47,13.2390990603155,48.9756504218523,2.78412310819251,25.5397098728621,15.9456585025036,6.88142438239477,18.2011658721281,13.2620689290138
"48",48,"Clan Alpine","NV0310","NV","NVC01000","BLM","HORSE",304763.071366,2001-05-09,304763.071366,"LUPA001614","{5973BF84-1620-4D90-8848-E09F42DB4131}",2015-12-30,2015-12-30,"{80A172D2-1EA8-4722-B6B1-BBC6EA7C26E4}",1.96188968078,0.128383926129,48,127.667211826595,74.1987144710261,14.5997481440331,17.1937158202545,14.4749957147148,9.1721145888078,16.6889952180178,5.85423524772908
"49",49,"Gold Butte","NV0502","NV","NVS01000","BLM","BURRO",178989.79093,1998-10-05,178989.79093,"LUPA001613","{D2E3DAA0-F81F-4585-9521-180F8CD2BF10}",2015-12-30,2015-12-30,"{F57E9B8F-D549-4E64-A64B-1FE8A33B1FFF}",1.15793931716,0.0726220689371,49,696.773781270221,38.0880471819921,31.6778650888663,10.3787240979604,11.7197734112232,6.41040612157744,13.5755030888923,1.09966765779254
"50",50,"Montgomery Pass","NV0317","NV","NVC01000","BLM","HORSE",4674.56091731,2001-05-09,4674.56091731,"LUPA001614","{A2A9DE6B-5240-471C-BE47-F3D52E0EDF86}",2015-12-30,2015-12-30,"{005749B0-2DF1-481D-A24E-BA53D359240F}",0.214093159498,0.00191891715606,50,69.8383677795443,55.2949125596184,9.78385948974184,28.8157695510637,13.7283670224847,2.51639033991975,24.2309031720796,0.0920584449996215
"51",51,"Goshute","NV0108","NV","NVE03000","BLM","HORSE",267445.392858,1985-07-16,267445.392858,"LUPA001609","{512CEB49-62DC-4BAA-8CA8-D496DBA539D7}",2015-12-30,2015-12-30,"{FCB5DB32-57BE-4738-B797-C87397537C65}",1.35017101458,0.115028936666,51,77.8447634670122,112.405893814607,12.7734638804492,19.8651524565032,13.5152077666568,10.274604178821,14.9713927803833,11.298208860232
"52",52,"Saulsbury","NV0620","NV","NVB02000","BLM","HORSE",62182.7253527,1997-10-06,62182.7253527,"LUPA001612","{1D274D2B-F1A5-47C9-A43F-DA53E0479844}",2015-12-30,2015-12-30,"{03473936-C712-477D-97C5-12FD043DAF1A}",0.748483477914,0.0256757243092,52,81.2210185714205,28.1582417395928,7.60210321478473,44.2909880810286,11.6806994122539,4.66171221369296,13.489820508324,0.0575951622665845
"53",53,"Goldfield","NV0626","NV","NVB02000","BLM","BURRO",62821.1658787,1997-10-06,62821.1658787,"LUPA001612","{3CD6ED5D-135E-4BEA-86F9-7E4FAA99EF4C}",2015-12-30,2015-12-30,"{EBF38001-0C06-4BF7-9C61-628ED22C2325}",0.63203307882,0.0258113687793,53,68.1971307807901,10.3925900078231,6.31414235784758,22.8111594504697,9.44238767665284,3.91436523168185,15.9336387530322,0.0962184613826057
"54",54,"New Pass-Ravenswood","NV0602","NV","NVB01000","BLM","HORSE",287948.419967,1986-02-26,287948.419967,"LUPA001610","{EE9C51C0-B317-4948-BA3D-3574468AEABF}",2015-12-30,2015-12-30,"{2B2B0999-397D-41C3-B525-C88ED84415CE}",1.70227560271,0.121703576219,54,108.326741152206,50.1640386662784,13.0213126435245,23.3026881155739,20.6117808258418,7.13139683661242,17.1682978530405,6.02812543266224
"55",55,"Muddy Mountains","NV0503","NV","NVS02000","BLM","HORSE",78584.5258975,1998-10-05,78584.5258975,"LUPA001613","{CEA227BA-A5B9-4C88-B8FD-ADCD0857FB77}",2015-12-30,2015-12-30,"{7817DD42-2E1C-4D26-85EE-5E30A4C9CF9D}",1.02271240735,0.0319053262196,55,377.017675773472,12.1065985457938,19.761733213477,15.5100417600674,9.16332624056985,4.11466609014258,14.8666636323293,0.242112809075703
"56",56,"Bald Mountain","NV0603","NV","NVB01000","BLM","HORSE",140711.948356,1986-02-26,140711.948356,"LUPA001610","{B9255CBF-8733-4D94-8980-2F35A869A9BD}",2015-12-30,2015-12-30,"{93EFDA8E-ABFE-4498-A058-BCB96FEB4447}",0.984449333646,0.0597732619641,56,67.0825817379017,58.3552580899533,9.90952301686336,22.9039569783251,17.0152947594672,8.07230746986429,19.8271271780877,7.03574973846545
"57",57,"Dogskin Mountains","NV0302","NV","NVC02000","BLM","HORSE",6605.17711166,2001-05-09,6605.17711166,"LUPA001614","{C0544FD9-F7C1-4085-BD3B-FA224DF3C555}",2015-12-30,2015-12-30,"{6095C812-DEB1-47A1-9F01-4F09559B72D8}",0.250575853717,0.00277837590061,57,173.460458916998,206.402336399749,15.0832636420656,19.1818942086557,16.0410568680744,15.8622987664646,19.7674315283295,2.24848421492787
"58",58,"Montezuma Peak","NV0625","NV","NVB02000","BLM","BOTH",78478.8681712,1997-10-06,78478.8681712,"LUPA001612","{68A3D69E-ACA0-4857-A99F-0C522DA2A6E5}",2015-12-30,2015-12-30,"{BE821272-63EA-4FA9-B198-202D2F6921AF}",0.760113492149,0.0322117767945,58,92.5851828971339,30.0899041323208,7.82478671019642,22.9455186594758,11.7312052452156,5.29421817788279,18.6101982287477,2.83509722046861
"59",59,"Rock Creek","NV0103","NV","NVE02000","BLM","HORSE",122084.529294,2003-01-01,122084.529294,"LUPA001611","{E3468AE4-167B-4107-9135-EE37F6A9CA0D}",2015-12-30,2015-12-30,"{389D1044-385D-406C-9533-57EC5B15EC4F}",1.51191417728,0.0529691478613,59,119.385720808236,415.735073168792,13.1383714887823,16.8242344801677,17.9611334067329,28.5557770645007,17.0890996118414,0.368679396880197
"60",60,"Desatoya","NV0606","NV","NVB01000","BLM","HORSE",162962.388243,1986-02-26,162962.388243,"LUPA001610","{439E741F-A575-47AF-A4CE-63135876C475}",2015-12-30,2015-12-30,"{FF45C10D-C414-490D-887D-CEB8E29456B0}",1.69733590238,0.0684621635041,60,31.3583871871141,59.5146550882806,4.56171897873713,22.9916896155201,14.9644331668569,6.94939512621516,20.5593470078797,10.9904718057954
