sample_name,sample,copy,area_season,season,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile,Other_notes
FR10_2,FR10,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1803.01,sagerush steppe,38.529947,-113.180084,5/28/2020 8:16,Adult,n,u,n,u,3,n,
FR11_1,FR11,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1809.87,sagerush steppe,38.565715,-113.188137,5/28/2020 15:11,Adult,n,u,n,u,5,y,
FR11_2,FR11,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1809.87,sagerush steppe,38.565715,-113.188137,5/28/2020 15:11,Adult,n,u,n,u,5,y,
FR12_1,FR12,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1676.28,sagerush steppe,38.559696,-113.128382,5/28/2020 16:40,Adult,y,stallion,y,5,2,y,
FR12_2,FR12,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1676.28,sagerush steppe,38.559696,-113.128382,5/28/2020 16:40,Adult,y,stallion,y,5,2,y,
FR13_1,FR13,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1844.15,sagerush steppe,38.538929,-113.193264,5/28/2020 17:29,Adult,n,u,n,u,5,y,
FR13_2,FR13,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1844.15,sagerush steppe,38.538929,-113.193264,5/28/2020 17:29,Adult,n,u,n,u,5,y,
FR14_1,FR14,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1846.3,sagerush steppe,38.538943,-113.194024,5/28/2020 17:34,Adult,n,u,n,u,4,n,
FR14_2,FR14,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1846.3,sagerush steppe,38.538943,-113.194024,5/28/2020 17:34,Adult,n,u,n,u,4,n,
FR15_1,FR15,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1810.45,sagerush steppe,38.544661,-113.186739,5/29/2020 8:11,Adult,n,u,n,u,3,n,
FR15_2,FR15,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1810.45,sagerush steppe,38.544661,-113.186739,5/29/2020 8:11,Adult,n,u,n,u,3,n,
FR16_1,FR16,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1833.79,sagerush steppe,38.541681,-113.189665,5/29/2020 8:26,Adult,n,u,y,5,1,y,
FR16_2,FR16,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1833.79,sagerush steppe,38.541681,-113.189665,5/29/2020 8:26,Adult,n,u,y,5,1,y,
FR1_1,FR1,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1874.48,sagerush steppe,38.536716,-113.20129,5/29/2020 8:56,Adult,n,u,n,u,3,n,
FR1_2,FR1,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1874.48,sagerush steppe,38.536716,-113.20129,5/29/2020 8:56,Adult,n,u,n,u,3,n,
FR3_1,FR3,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1727.71,sagerush steppe,38.582707,-113.167975,5/28/2020 10:21,Adult,n,u,n,u,5,n,
FR3_2,FR3,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1727.71,sagerush steppe,38.582707,-113.167975,5/28/2020 10:21,Adult,n,u,n,u,5,n,
FR4_1,FR4,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.94,sagerush steppe,38.57563,-113.151636,5/28/2020 11:05,Adult,n,u,n,u,2,n,
FR4_2,FR4,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.94,sagerush steppe,38.57563,-113.151636,5/28/2020 11:05,Adult,n,u,n,u,2,n,
FR5_1,FR5,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.3,sagerush steppe,38.575657,-113.15163,5/28/2020 11:06,Adult,n,u,n,u,2,n,
FR5_2,FR5,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.3,sagerush steppe,38.575657,-113.15163,5/28/2020 11:06,Adult,n,u,n,u,2,n,
FR6_1,FR6,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.5,sagerush steppe,38.575672,-113.151623,5/28/2020 11:07,Adult,n,u,n,u,2,n,
FR6_2,FR6,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.5,sagerush steppe,38.575672,-113.151623,5/28/2020 11:07,Adult,n,u,n,u,2,n,
FR7_1,FR7,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1689.6,sagerush steppe,38.575741,-113.151608,5/28/2020 11:09,Adult,n,u,n,u,2,n,
FR7_2,FR7,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1689.6,sagerush steppe,38.575741,-113.151608,5/28/2020 11:09,Adult,n,u,n,u,2,n,
FR8_1,FR8,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1829.13,sagerush steppe,38.505578,-113.177678,5/28/2020 12:57,Adult,n,u,n,u,5,y,
FR8_2,FR8,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1829.13,sagerush steppe,38.505578,-113.177678,5/28/2020 12:57,Adult,n,u,n,u,5,y,
FR9_1,FR9,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1970.31,sagerush steppe,38.515958,-113.228675,5/28/2020 13:36,Adult,n,u,n,u,5,n,
FR9_2,FR9,2,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1970.31,sagerush steppe,38.515958,-113.228675,5/28/2020 13:36,Adult,n,u,n,u,5,n,
GM10_1,GM10,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2248.62,sagerush steppe,42.341876,-107.625571,7/14/2020 14:16,Adult,n,u,n,u,4,y,
GM10_2,GM10,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2248.62,sagerush steppe,42.341876,-107.625571,7/14/2020 14:16,Adult,n,u,n,u,4,y,
GM11_1,GM11,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2294.57,sagerush steppe,42.336999,-107.62826,7/14/2020 14:35,Adult,n,u,n,u,4,y,
GM11_2,GM11,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2294.57,sagerush steppe,42.336999,-107.62826,7/14/2020 14:35,Adult,n,u,n,u,4,y,
GM12_1,GM12,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2345.55,sagerush steppe,42.332714,-107.639668,7/14/2020 14:45,Adult,n,u,n,u,4,y,
GM12_2,GM12,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2345.55,sagerush steppe,42.332714,-107.639668,7/14/2020 14:45,Adult,n,u,n,u,4,y,
GM13_1,GM13,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2544.22,sagerush steppe,42.309429,-107.649136,7/14/2020 15:40,Adult,n,u,n,u,5,n,
GM13_2,GM13,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2544.22,sagerush steppe,42.309429,-107.649136,7/14/2020 15:40,Adult,n,u,n,u,5,n,
GM14_1,GM14,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2571.77,sagerush steppe,42.317589,-107.639887,7/14/2020 16:45,Adult,n,u,n,u,4,y,
GM14_2,GM14,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2571.77,sagerush steppe,42.317589,-107.639887,7/14/2020 16:45,Adult,n,u,n,u,4,y,
GM15_1,GM15,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2249.26,sagerush steppe,42.342232,-107.623496,7/14/2020 18:24,Adult,n,u,n,u,2,y,
GM15_2,GM15,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2249.26,sagerush steppe,42.342232,-107.623496,7/14/2020 18:24,Adult,n,u,n,u,2,y,
GM16_1,GM16,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2256.61,sagerush steppe,42.341525,-107.624532,7/14/2020 18:29,Adult,y,mare,y,5,1,n,
GM16_2,GM16,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2256.61,sagerush steppe,42.341525,-107.624532,7/14/2020 18:29,Adult,y,mare,y,5,1,n,
GM17_1,GM17,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2676.72,sagerush steppe,42.353358,-107.703778,7/15/2020 8:31,Adult,n,u,n,u,4,y,
GM17_2,GM17,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2676.72,sagerush steppe,42.353358,-107.703778,7/15/2020 8:31,Adult,n,u,n,u,4,y,
GM18_1,GM18,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2696.61,sagerush steppe,42.355701,-107.713069,7/15/2020 8:36,Adult,n,u,n,u,4,y,
GM18_2,GM18,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2696.61,sagerush steppe,42.355701,-107.713069,7/15/2020 8:36,Adult,n,u,n,u,4,y,
GM19_1,GM19,1,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2740.39,sagerush steppe,42.341562,-107.716729,7/15/2020 8:44,Adult,n,u,n,u,4,n,
GM19_2,GM19,2,GM,summer,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2740.39,sagerush steppe,42.341562,-107.716729,7/15/2020 8:44,Adult,n,u,n,u,4,n,
